id,name,alternateNames,type,skinColor,fleshColor,origin,description,flavorIntensity,butteriness,earthiness,sweetness,nuttiness,flavorCategory,textureWhenCooked,moistureLevel,starchContent,bestUses,fryingQuality,mashingQuality,roastingQuality,saladQuality,holdsShapeWhenCooked,cuisineAffinity,tuberShape,tuberSizeGrams_min,tuberSizeGrams_max,sizeCategory,eyeDepth,skinTexture,skinThickness,daysToMaturity_min,daysToMaturity_max,maturityCategory,yieldPotential,plantVigor,setCount,tuberSizeUniformity,hardinessZone_min,hardinessZone_max,heatTolerance,droughtTolerance,frostTolerance,climateSuitability,containerFriendly,minPotLiters,rowSpacingCm,seedSpacingCm,difficulty,storageLife,storageDormancy,storageNotes,diseaseResistance_lateBlight,diseaseResistance_scab,diseaseResistance_virus,diseaseResistance_nematode,diseaseNotes,availableFrom_SeedSow,availableFrom_WestCoastSeeds,vendorSeedList,vendorVarietyNames,sources,confidence
11,Yukon Gold,,all_purpose,yellow,yellow,Canada,"The iconic golden potato developed in Canada in 1966. Loved for its buttery flavor and versatility. Creamy texture makes exceptional mashed potatoes without added butter. A kitchen staple that roasts, bakes, and fries beautifully.",5,8,6,4,6,buttery,creamy,medium,medium,mashing|roasting|frying|baking,5,8,8,7,6,global,oblong,83,138,medium,shallow,smooth,medium,74,79,early,very_high,low,many,variable,2,9,3,4,7,warm|cool,false,,25,21,beginner,good,short,,susceptible,moderate,resistant,highly_resistant,,true,true,SeedSow|WestCoastSeeds,Yukon Gold|Yukon Gold Organic,seedsnow.com|westcoastseeds.com|potatoassociation.org|woodprairie.com,high
12,King Edward,,all_purpose,white,cream,UK,"Classic British variety from 1902 with white skin often blushed pink, and creamy white flesh. Named after King Edward VII. The floury texture and complex flavor make it a favorite for roasting alongside Sunday joints. A heritage potato with royal pedigree.",7,7,4,5,4,complex,fluffy,medium,medium,roasting|baking|mashing,7,8,9,5,5,british|irish,oval,68,111,medium,shallow,smooth,medium,63,82,early,low,medium,few,uniform,2,9,7,5,5,cool,false,,25,27,intermediate,fair,short,,moderate,moderate,moderate,moderate,,true,false,SeedSow,King Edward,seedsnow.com|ag.umass.edu|extension.umaine.edu,high
13,Kennebec,,all_purpose,white,white,USA,"American classic developed in Maine in 1948, known for excellent frying quality. The fluffy texture and mild flavor made it the original choice for potato chips. Large tubers with buff-white skin and white flesh are highly productive.",6,7,4,3,3,mild,fluffy,medium,medium,frying|chips|baking,9,6,7,6,5,american|global,oblong,101,170,large,shallow,smooth,thin,86,100,mid_season,very_high,medium,few,uniform,2,9,6,4,8,cool|temperate,false,,28,34,intermediate,good,medium,,susceptible,highly_resistant,susceptible,resistant,,true,true,SeedSow|WestCoastSeeds,Kennebec|Kennebec Organic,seedsnow.com|westcoastseeds.com|ag.umass.edu|woodprairie.com,high
14,Montana,,all_purpose,bicolor,yellow,Netherlands,"Dutch variety with distinctive bicolor skin pattern and golden flesh. The waxy texture excels in roasting where the skin crisps beautifully. Complex flavor with moderate sweetness suits Mediterranean preparations.",6,5,3,6,4,complex,waxy,moist,medium,mashing|roasting,6,7,9,6,8,indian|mediterranean,fingerling,90,124,medium,deep,netted,medium,84,98,mid_season,medium,medium,moderate,moderate,2,9,4,3,4,temperate|cool,false,,31,24,beginner,poor,medium,,resistant,highly_resistant,moderate,highly_resistant,,true,false,SeedSow,Montana,seedsnow.com|ag.umass.edu|wikipedia.org,high
15,Russet Norkotah,,starchy,russet,white,USA,"Premier baking potato with classic russet appearance and high starch content. The dry, fluffy texture when baked creates the ideal canvas for butter and toppings. A commercial standard developed in North Dakota.",8,5,7,2,1,earthy,fluffy,dry,high,baking|frying|mashing,9,9,7,1,3,american|global,oblong,118,200,large,shallow,russeted,thick,81,91,mid_season,high,medium,few,uniform,3,9,4,3,5,cool|temperate,false,,35,28,intermediate,excellent,long,,moderate,resistant,moderate,resistant,,true,false,SeedSow,Russet Norkotah,seedsnow.com|ag.umass.edu|westcoastseeds.com,high
16,Red Pontiac,,all_purpose,red,white,USA,"American red-skinned classic from the 1940s with smooth white flesh. The moist, waxy texture makes it popular for boiling and potato salads. Thin red skin adds color while the flesh stays creamy. Excellent for new potatoes.",5,5,4,4,3,mild,waxy,moist,low,boiling|salads|roasting|soups,5,6,8,9,8,american|global,round,109,154,large,shallow,smooth,thin,88,96,mid_season,high,high,many,moderate,2,9,7,5,4,warm|cool|temperate,false,,28,34,beginner,good,short,,resistant,resistant,moderate,moderate,,true,true,SeedSow|WestCoastSeeds,Red Pontiac|Red Pontiac Organic,seedsnow.com|westcoastseeds.com|ag.umass.edu|extension.umaine.edu,high
17,Peruvian Sunrise Gold,,all_purpose,yellow,yellow,Germany,"German variety with sunny yellow skin and matching golden flesh. The mealy texture and mild flavor make it a reliable choice for frying and chips. Produces large tubers with excellent storage potential.",5,7,5,3,5,mild,mealy,medium,medium,frying|gnocchi|chips,5,8,8,6,8,british,oval,119,157,large,medium,flaky,thick,80,93,mid_season,low,low,many,moderate,2,9,4,5,4,temperate|cool,false,,36,22,intermediate,excellent,medium,,resistant,resistant,resistant,moderate,,true,false,SeedSow,Peruvian Sunrise Gold,seedsnow.com|woodprairie.com|potatoassociation.org,high
18,All Red,,specialty,red,red,USA,"True red-fleshed potato where the color extends throughout. Sweet flavor with firm texture that holds up to cooking. Exceptional for roasting and salads where the red color creates visual drama.",8,4,5,8,2,sweet,firm,moist,medium,roasting|salads|hash,6,5,8,8,8,american,oval,70,90,medium,shallow,smooth,medium,80,96,mid_season,medium,high,few,uniform,2,9,4,6,6,cool|temperate|warm,false,,26,29,intermediate,good,medium,,moderate,moderate,resistant,moderate,,true,false,SeedSow,All Red,seedsnow.com|extension.umaine.edu|ag.umass.edu,high
19,Yukon Gem,,all_purpose,purple,yellow,Canada,"Canadian specialty combining purple skin with golden yellow flesh - a colorful twist on Yukon Gold parentage. The creamy texture and buttery flavor shine in roasting and mashing. Excellent where you want visual impact with familiar flavor.",6,8,5,4,4,buttery,creamy,moist,medium,roasting|mashing|chips,7,8,9,7,6,american|global,oblong,69,109,medium,shallow,smooth,medium,87,94,mid_season,medium,medium,few,uniform,2,9,5,5,5,cool|temperate,false,,38,27,intermediate,good,medium,,moderate,susceptible,resistant,moderate,,true,false,SeedSow,Yukon Gem,seedsnow.com|extension.umaine.edu|woodprairie.com,high
20,Agata,,all_purpose,yellow,yellow,Netherlands,"Dutch early variety widely grown in Europe. Light yellow skin with pale yellow flesh. The firm, waxy texture holds shape well for salads and boiling. Mild flavor profile makes it adaptable to various cuisines.",5,6,4,4,4,mild,waxy,moist,low,boiling|salads|roasting,5,5,7,9,8,european|global,oval,69,120,medium,shallow,smooth,thin,83,95,early,high,high,moderate,uniform,2,9,4,7,4,cool|warm|temperate,false,,39,29,beginner,good,medium,,susceptible,resistant,moderate,resistant,,true,false,SeedSow,Agata,seedsnow.com|potatoassociation.org|woodprairie.com,high
21,Red La Soda,,all_purpose,red,white,USA,"American red-skinned variety with white flesh. The waxy texture and mild flavor suit boiling and salads. Large tubers with thin red skin provide good yields. Popular in the southern United States.",5,5,4,4,3,mild,waxy,moist,low,boiling|salads|frying,6,5,7,8,7,american,round,120,173,large,medium,smooth,thin,80,99,mid_season,medium,medium,many,uniform,2,9,4,5,6,warm|temperate,false,,33,23,beginner,good,medium,,susceptible,susceptible,susceptible,moderate,,true,false,SeedSow,Red La Soda,seedsnow.com|ag.umass.edu|extension.umaine.edu,high
22,Ciklamen,,all_purpose,yellow,cream,Germany,"German variety with golden skin and rich cream-colored flesh. The creamy texture and buttery flavor make exceptional soups. High moisture content delivers smooth results in purees and gratins.",5,8,6,4,4,buttery,creamy,moist,medium,soups,6,5,8,6,5,british|american,irregular,104,131,large,medium,russeted,thick,80,98,mid_season,very_high,low,few,moderate,2,9,7,3,5,temperate,false,,26,24,advanced,fair,short,,highly_resistant,susceptible,moderate,resistant,,true,false,SeedSow,Ciklamen,seedsnow.com|woodprairie.com|westcoastseeds.com,high
23,Chieftain,,all_purpose,red,white,USA,"American red-skinned variety with bright crimson skin and white flesh. The smooth, waxy texture makes excellent boiling potatoes. Popular for its attractive appearance and reliable performance.",5,5,4,4,4,mild,waxy,moist,low,boiling|salads|roasting,5,6,8,8,8,american,round,109,148,large,shallow,smooth,thin,90,94,mid_season,high,medium,moderate,uniform,2,9,3,4,6,cool|temperate,false,,31,34,beginner,good,medium,,susceptible,resistant,susceptible,moderate,,true,false,SeedSow,Chieftain (mid),seedsnow.com|potatoassociation.org|westcoastseeds.com,high
24,Vermillion Fingerling,,fingerling,red,yellow,France,"French fingerling with red skin and yellow flesh. The nutty flavor and waxy texture suit salads beautifully. Compact size makes it ideal for container growing and small gardens.",6,7,5,5,7,nutty,waxy,moist,low,salads|roasting,4,4,8,9,9,french|global,fingerling,24,45,petite,medium,smooth,thin,82,99,mid_season,medium,low,few,uniform,3,8,6,5,7,cool|temperate|warm,true,17,32,32,beginner,good,long,,susceptible,resistant,resistant,resistant,,true,false,SeedSow,Vermillion Fingerling,seedsnow.com|westcoastseeds.com|extension.umaine.edu,high
25,All Blue,,specialty,blue,blue,Peru,"Peruvian blue potato with matching blue skin and flesh that holds color when cooked. The moist texture and mild, slightly sweet flavor create memorable dishes. Perfect for chips and roasting where color creates conversation.",5,5,4,5,4,mild,moist,moist,medium,roasting|chips|salads,6,5,7,8,7,global,oblong,81,112,medium,medium,smooth,medium,89,94,mid_season,medium,low,few,uniform,2,9,6,5,6,cool|temperate|warm,false,,37,31,intermediate,good,short,,susceptible,susceptible,susceptible,moderate,,true,false,SeedSow,All Blue,seedsnow.com|wikipedia.org|ag.umass.edu,high
26,Purple Majesty,,specialty,purple,purple,USA,"American variety bred for intense purple color throughout both skin and flesh. The moist texture and mild flavor hold up to various cooking methods. High antioxidant content makes it as nutritious as it is beautiful.",6,5,5,5,4,mild,moist,moist,medium,roasting|baking|salads,6,6,7,8,7,american|global,oblong,93,146,medium,medium,smooth,medium,86,95,mid_season,medium,medium,moderate,moderate,2,9,5,4,7,cool|temperate,false,,35,29,beginner,good,medium,,highly_resistant,susceptible,susceptible,moderate,,true,false,SeedSow,Purple Majesty,seedsnow.com|extension.umaine.edu|wikipedia.org,high
27,Norland,"Dark Red Norland, Red Norland",waxy,red,white,USA,"American early red variety with bright red skin and white flesh. Very early to mature. The waxy texture and mild flavor suit boiling and salads. One of the most popular red varieties for home gardens. Dark Red Norland is a popular selection with deeper red skin.",4,5,4,4,2,mild,waxy,moist,low,boiling|salads|roasting,4,5,8,9,8,american,round,70,103,medium,shallow,smooth,thin,70,80,early,high,medium,many,uniform,2,10,6,7,4,temperate|cool,true,12,35,33,beginner,fair,short,,resistant,moderate,highly_resistant,susceptible,,true,true,SeedSow|WestCoastSeeds,Norland Dark Red|Norland Organic,seedsnow.com|westcoastseeds.com|ag.umass.edu|extension.umaine.edu,high
28,Huckleberry Gold,,all_purpose,purple,yellow,USA,"American specialty with purple skin and golden yellow flesh. The waxy texture and buttery flavor make it versatile for roasting and salads. An attractive variety that combines color with great taste.",6,7,4,5,5,buttery,waxy,moist,medium,roasting|salads|mashing,6,7,8,8,7,american,oblong,67,80,medium,shallow,smooth,thin,86,100,mid_season,medium,medium,moderate,uniform,2,9,4,5,5,cool|temperate,false,,30,32,intermediate,good,medium,,susceptible,highly_resistant,moderate,susceptible,,true,false,SeedSow,Huckleberry Gold,seedsnow.com|woodprairie.com|westcoastseeds.com,high
29,Russet Pioneer,,starchy,russet,white,USA,"American russet with classic brown russeted skin and white flesh. The fluffy texture and mild flavor excel in baking. High starch content makes it ideal for light, fluffy baked potatoes.",8,5,6,2,2,mild,fluffy,dry,high,baking|frying|mashing,8,9,6,2,3,american,oblong,68,83,medium,shallow,russeted,medium,82,94,mid_season,medium,low,moderate,uniform,3,9,7,7,8,cool|temperate,false,,36,32,intermediate,good,medium,,susceptible,susceptible,moderate,susceptible,,true,false,SeedSow,Russet Pioneer,seedsnow.com|ag.umass.edu|woodprairie.com,high
30,Russet Burbank,,starchy,russet,white,USA,"The legendary Idaho baking potato developed by Luther Burbank in 1872. High starch and dry texture create the fluffiest baked potatoes. Long tubers with heavy russeting. The standard by which all russets are measured.",8,5,6,2,2,earthy,fluffy,dry,high,baking|frying,10,9,6,2,3,american|global,long,150,280,large,shallow,russeted,thick,95,115,late,medium,low,few,variable,3,9,4,4,4,cool|temperate,false,,37,30,advanced,excellent,long,,moderate,resistant,susceptible,susceptible,,true,false,SeedSow,Russet Burbank,seedsnow.com|ag.umass.edu|extension.umaine.edu,high
31,German Butterball,,all_purpose,yellow,yellow,Germany,"Heritage variety prized for its exceptional buttery flavor and golden flesh throughout. The fluffy texture makes silky mashed potatoes. Yellow skin with golden flesh is easy to identify.",7,9,4,4,5,buttery,fluffy,moist,medium,mashing|baking|roasting,6,9,8,6,5,german|american,round,85,144,medium,shallow,smooth,thin,82,110,late,medium,medium,many,variable,2,9,6,5,5,cool|temperate,false,,30,25,beginner,excellent,long,,highly_resistant,susceptible,susceptible,resistant,,true,false,SeedSow,German Butterball,seedsnow.com|woodprairie.com|potatoassociation.org,high
32,Ramona,,all_purpose,red,white,Netherlands,"Dutch variety with red skin and white flesh. The firm texture and mild flavor make good boiling potatoes. Reliable producer with attractive appearance.",5,5,4,4,4,mild,waxy,moist,medium,boiling|salads,5,5,7,7,7,european,oval,111,156,large,shallow,smooth,thin,100,123,late,medium,medium,few,moderate,2,9,4,7,5,cool|temperate,false,,27,23,intermediate,fair,medium,,resistant,susceptible,highly_resistant,resistant,,true,false,SeedSow,Ramona,seedsnow.com|woodprairie.com|ag.umass.edu,high
33,Terra Rosa,,all_purpose,red,pink,Canada,"Canadian specialty with red skin and pink-rose colored flesh. The firm texture and mild flavor make it interesting for salads. The pink interior creates visual interest when sliced.",5,5,4,4,4,mild,firm,moist,medium,salads|roasting,6,5,7,8,7,american,oval,69,80,medium,shallow,smooth,medium,94,116,mid_late,medium,medium,few,moderate,2,9,7,3,6,cool|temperate,false,,28,30,intermediate,good,medium,,resistant,moderate,susceptible,moderate,,true,false,SeedSow,Terra Rosa,seedsnow.com|extension.umaine.edu|westcoastseeds.com,high
34,Defender,,all_purpose,white,white,USA,"American variety bred for disease resistance with white skin and white flesh. The waxy texture and mild flavor suit multiple cooking methods. Named for its strong defense against common potato diseases.",4,5,4,4,4,mild,waxy,moist,medium,boiling|salads|roasting,5,5,7,8,7,american,oval,95,113,medium,shallow,smooth,medium,107,140,late,medium,medium,moderate,moderate,2,9,7,7,8,cool|temperate,false,,27,32,intermediate,good,medium,,highly_resistant,highly_resistant,resistant,moderate,,true,false,SeedSow,Defender,seedsnow.com|potatoassociation.org|wikipedia.org,high
35,Jelly,,all_purpose,yellow,yellow,Germany,"German variety with yellow skin and matching golden flesh. The waxy texture and buttery flavor create smooth mashed potatoes and soups. High yield makes it rewarding to grow.",6,8,4,5,3,buttery,waxy,moist,medium,mashing|soups|salads,6,8,7,7,6,german|european,oblong,68,96,medium,shallow,smooth,thin,80,110,mid_late,very_high,high,moderate,uniform,2,9,6,5,4,temperate|cool,false,,35,33,beginner,good,medium,,moderate,susceptible,resistant,resistant,,true,false,SeedSow,Jelly,seedsnow.com|wikipedia.org|westcoastseeds.com,high
36,Magic Molly,,specialty,purple,purple,USA,"American purple variety with deep purple skin and purple flesh throughout. The color holds well when cooked. Fingerling shape with firm texture suits roasting and salads where color matters.",7,5,5,5,4,mild,firm,moist,medium,roasting|salads|chips,5,5,8,8,8,american,fingerling,50,90,small,medium,smooth,thin,100,115,late,medium,medium,few,uniform,2,9,3,4,7,cool|temperate,false,,32,22,intermediate,good,medium,,moderate,moderate,susceptible,susceptible,,true,false,SeedSow,Magic Molly,seedsnow.com|potatoassociation.org|extension.umaine.edu,high
37,French Classic,,all_purpose,yellow,yellow,France,"French variety with yellow skin and golden flesh. The mealy texture makes good frying potatoes and chips. Traditional French potato with reliable quality.",5,6,4,4,4,mild,mealy,medium,medium,frying|chips|baking,7,6,7,5,5,french|european,oval,101,120,large,shallow,smooth,thin,75,93,mid_late,medium,medium,moderate,moderate,2,9,6,4,4,temperate,false,,35,31,intermediate,good,medium,,highly_resistant,susceptible,susceptible,susceptible,,true,false,SeedSow,French Classic,seedsnow.com|ag.umass.edu|wikipedia.org,high
38,Yellow Finn,,all_purpose,yellow,yellow,Finland,"Finnish heirloom with golden skin and matching yellow flesh. The firm, waxy texture and intense buttery flavor make legendary roasted potatoes and salads. A gourmet favorite that stores well.",6,9,4,5,4,buttery,waxy,moist,low,roasting|salads|boiling,5,6,9,9,8,scandinavian|european,oval,84,114,medium,shallow,smooth,thin,95,120,late,low,medium,few,uniform,2,9,3,5,6,cool,false,,31,29,intermediate,excellent,long,,moderate,moderate,resistant,highly_resistant,,true,false,SeedSow,Yellow Finn,seedsnow.com|potatoassociation.org|westcoastseeds.com,high
39,Purple Peruvian,,specialty,purple,purple,Peru,"Andean heritage variety with deep purple skin and purple flesh throughout. The firm texture and earthy, slightly sweet flavor suit chips and roasting. The color holds through cooking for striking presentations.",7,5,5,6,4,earthy,firm,moist,medium,roasting|chips|salads,6,5,8,8,8,andean|global,fingerling,60,100,small,shallow,smooth,thin,100,120,late,low,medium,few,uniform,2,9,6,6,7,cool|temperate,false,,31,29,intermediate,good,medium,,highly_resistant,moderate,resistant,resistant,,true,false,SeedSow,Purple Peruvian,seedsnow.com|potatoassociation.org|wikipedia.org,high
40,Russian Banana,,fingerling,yellow,yellow,Russia,"Russian heirloom fingerling with tan-yellow skin and golden yellow flesh. The waxy texture and rich, buttery flavor make exceptional roasted potatoes and salads. The elongated banana shape is instantly recognizable.",6,8,4,5,5,buttery,waxy,moist,low,roasting|salads|boiling,5,5,9,10,9,russian|european,fingerling,50,85,small,shallow,smooth,thin,90,105,late,medium,medium,few,uniform,3,8,7,4,7,cool|temperate,false,,33,31,intermediate,excellent,long,,highly_resistant,resistant,moderate,resistant,,true,false,SeedSow,Russian Banana,seedsnow.com|potatoassociation.org|ag.umass.edu,high
41,Austrian Crescent,,fingerling,yellow,yellow,Austria,"Austrian heirloom fingerling with tan-yellow skin and golden flesh. The waxy texture and buttery flavor excel in roasting and salads. The distinctive curved crescent shape makes it a conversation piece.",6,8,4,5,5,buttery,waxy,moist,low,roasting|salads,5,5,9,10,9,austrian|european,fingerling,50,90,small,shallow,smooth,thin,85,100,mid_late,medium,medium,few,uniform,3,8,5,4,7,cool|temperate,false,,37,21,intermediate,good,medium,,resistant,highly_resistant,susceptible,highly_resistant,,true,false,SeedSow,Austrian Crescent,seedsnow.com|westcoastseeds.com|extension.umaine.edu,high
42,Red Thumb,,fingerling,red,pink,USA,"American red fingerling with crimson skin and pink-streaked flesh. The waxy texture and mild flavor suit salads beautifully. Red skin adds color to dishes while the pink interior provides visual interest.",5,5,4,4,3,mild,waxy,moist,low,salads|roasting|boiling,4,4,8,9,9,american,fingerling,40,70,small,shallow,smooth,thin,76,90,mid_early,medium,medium,few,moderate,3,8,4,7,5,cool|temperate,false,,26,25,beginner,good,short,,resistant,moderate,susceptible,susceptible,,true,false,SeedSow,Red Thumb,seedsnow.com|extension.umaine.edu|ag.umass.edu,high
43,GemStar Russet,,starchy,russet,white,Canada,"Canadian russet bred for commercial quality with white flesh. The fluffy texture and mild flavor excel in baking. Outstanding frying quality rivals the best restaurant potatoes.",7,5,6,3,2,mild,fluffy,dry,high,baking|frying,10,9,6,2,3,american|global,oblong,99,154,medium,shallow,russeted,medium,93,112,mid_late,high,medium,moderate,uniform,3,9,7,3,5,cool|temperate,false,,38,25,intermediate,good,medium,,highly_resistant,resistant,highly_resistant,resistant,,false,true,WestCoastSeeds,GemStar Russet,westcoastseeds.com|wikipedia.org|potatoassociation.org,high
44,French Fingerling,,fingerling,red,yellow,France,"French heirloom fingerling with rose-red skin and yellow flesh often streaked with pink. The waxy texture and nutty flavor make it a salad star. Elegant appearance elevates any dish.",6,7,4,5,6,nutty,waxy,moist,low,salads|roasting|boiling,5,4,9,10,9,french|european,fingerling,42,72,small,medium,smooth,thin,86,100,mid_season,medium,medium,moderate,moderate,3,8,6,7,4,cool|temperate,true,12,34,28,intermediate,good,long,,resistant,resistant,resistant,resistant,,false,true,WestCoastSeeds,French Fingerling,westcoastseeds.com|seedsnow.com|potatoassociation.org,high
45,Sieglinde,,all_purpose,yellow,yellow,Germany,"German heirloom from 1935 with yellow skin and matching yellow flesh. The waxy texture and mild buttery flavor excel in salads and boiling. A heritage variety prized for consistent quality.",5,7,4,4,4,buttery,waxy,moist,low,salads|boiling|roasting,5,5,8,9,8,german|european,oval,81,121,medium,shallow,smooth,thin,96,119,mid_late,medium,medium,moderate,uniform,2,9,5,4,7,cool|temperate,false,,28,32,beginner,good,medium,,highly_resistant,highly_resistant,highly_resistant,susceptible,,false,true,WestCoastSeeds,Sieglinde,westcoastseeds.com|woodprairie.com|wikipedia.org,high
