
id,name,alternateNames,type,origin,description,sweetness,tartness,aromaIntensity,flavorComplexity,flavorCategory,textureCategory,juiciness,fruitSizeGrams_min,fruitSizeGrams_max,sizeCategory,fruitShape,colorIntensity,interiorColor,skinStrength,shelfLife,bestUses,processingQuality,freezingQuality,daysToFirstHarvest,harvestWindow,yieldPotential,runnerProduction,plantVigor,lifespan,hardinessZone_min,hardinessZone_max,heatTolerance,coldTolerance,climateSuitability,containerFriendly,minPotLiters,spacingCm,difficulty,diseaseResistance_verticillium,diseaseResistance_powderyMildew,diseaseResistance_crownRot,diseaseResistance_leafSpot,pestNotes,diseaseNotes,sources,confidence,availableFrom_SeedSow,availableFrom_WestCoastSeeds,vendorSeedList,vendorVarietyNames
11,Fort Laramie,,everbearing,Italy,Fort Laramie is a everbearing strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,6,6,8,5,classic,medium,6,7,11,medium,wedge,5,red,6,good,fresh_eating|jam|preserves|freezing,5,6,95,long,medium,moderate,high,2_years,4,6,5,5,temperate|cool,true,10,35,beginner,moderate,moderate,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
12,Camarosa,,june_bearing,New Zealand,Camarosa is a june bearing strawberry with medium berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,5,6,5,classic,medium,9,11,15,medium,elongated,7,red,8,excellent,fresh_eating|jam|preserves|baking,7,6,101,short,high,high,medium,2_years,5,8,6,5,cool|temperate|warm,false,,30,intermediate,resistant,resistant,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
13,Sweet Charlie,,june_bearing,France,Sweet Charlie is a june bearing strawberry with very large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,6,7,7,classic,firm,9,26,30,very_large,conical,9,red,9,excellent,fresh_eating|jam|preserves|baking,7,9,104,short,high,high,high,3_years,4,8,8,7,cool|temperate|warm,false,,20,intermediate,resistant,resistant,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
14,Flavorfest,,day_neutral,UK,Flavorfest is a day neutral strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,9,4,7,8,classic,medium,6,10,14,medium,round,6,red,7,good,fresh_eating|jam|freezing|desserts,5,5,86,continuous,high,low,high,2_years,4,8,8,9,temperate|warm,true,7,20,beginner,resistant,moderate,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
15,Alexandria,,alpine,Switzerland,Alexandria is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,10,5,8,10,aromatic,medium,9,3,7,small,conical,7,red,5,fair,fresh_eating|desserts|salads,8,9,108,continuous,low,none,medium,3_years,4,8,5,5,cool|temperate,true,10,25,beginner,moderate,susceptible,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
16,Mignonette,,alpine,Canada,Mignonette is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,10,3,10,10,aromatic,medium,8,1,5,small,conical,8,red,7,good,fresh_eating|desserts|salads,6,6,106,continuous,medium,none,medium,3_years,5,6,4,7,cool|temperate,true,7,40,beginner,susceptible,susceptible,susceptible,moderate,,,westcoastseeds.com|extension.oregonstate.edu|strawberryplants.org,high,false,true,WestCoastSeeds,Mignonette
17,Yellow Wonder,,alpine,Netherlands,Yellow Wonder is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,9,5,10,7,aromatic,medium,7,3,7,small,conical,9,red,4,poor,fresh_eating|desserts|salads,8,5,110,continuous,medium,none,low,4_plus_years,5,7,5,9,cool|temperate,true,10,45,beginner,moderate,susceptible,moderate,moderate,,,westcoastseeds.com|extension.oregonstate.edu|strawberryplants.org,high,false,true,WestCoastSeeds,Yellow Wonder
18,Mara des Bois,,day_neutral,Italy,Mara des Bois is a day neutral strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,7,6,6,5,classic,firm,9,15,19,large,conical,5,red,8,excellent,fresh_eating|jam|freezing|desserts,9,5,94,continuous,medium,moderate,high,3_years,4,9,6,7,temperate|warm,true,15,30,intermediate,resistant,moderate,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
19,Gariguette,,june_bearing,New Zealand,Gariguette is a june bearing strawberry with medium berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,3,5,6,classic,firm,7,10,14,medium,wedge,7,red,8,excellent,fresh_eating|jam|preserves|baking,5,7,111,short,high,very_high,high,3_years,4,6,5,7,cool|temperate|warm,true,5,30,intermediate,resistant,moderate,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
20,Elsanta,,june_bearing,UK,Elsanta is a june bearing strawberry with very large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,5,8,7,classic,medium,6,26,30,very_large,round,6,dark_red,10,excellent,fresh_eating|jam|preserves|baking,7,8,105,short,very_high,very_high,medium,3_years,4,8,8,9,cool|temperate|warm,false,,35,intermediate,resistant,resistant,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
21,San Andreas,,day_neutral,Netherlands,San Andreas is a day neutral strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,8,3,8,7,classic,soft,7,13,17,large,wedge,7,red,9,excellent,fresh_eating|jam|freezing|desserts,7,6,85,continuous,high,low,medium,2_years,4,9,7,9,temperate|warm,true,10,45,intermediate,resistant,resistant,moderate,moderate,,,extension.oregonstate.edu|seedsnow.com|strawberryplants.org,high,true,false,SeedSow,San Andreas
22,Fresca,,alpine,New Zealand,Fresca is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,9,4,10,9,aromatic,medium,9,4,8,small,conical,8,red,6,good,fresh_eating|desserts|salads,9,9,95,continuous,medium,none,medium,3_years,4,8,3,7,cool|temperate,true,5,45,beginner,susceptible,susceptible,moderate,moderate,,,westcoastseeds.com|extension.oregonstate.edu|strawberryplants.org,high,false,true,WestCoastSeeds,Fresca
23,Regina,,alpine,Canada,Regina is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,8,4,8,9,aromatic,firm,7,2,6,small,conical,6,red,5,fair,fresh_eating|desserts|salads,7,8,94,continuous,low,none,medium,3_years,5,6,2,9,cool|temperate,true,7,35,intermediate,moderate,moderate,susceptible,susceptible,,,westcoastseeds.com|extension.oregonstate.edu|strawberryplants.org,high,false,true,WestCoastSeeds,Regina
24,Rose Berries Galore F1,,alpine,UK,Rose Berries Galore F1 is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,10,2,7,8,aromatic,firm,7,4,8,small,conical,8,red,4,poor,fresh_eating|desserts|salads,5,6,95,continuous,medium,none,low,4_plus_years,5,7,4,9,cool|temperate,true,7,30,beginner,susceptible,susceptible,susceptible,moderate,,,westcoastseeds.com|extension.oregonstate.edu|strawberryplants.org,high,false,true,WestCoastSeeds,Rose Berries Galore F1
25,Hot Pink Berri Basket F1,,alpine,Canada,Hot Pink Berri Basket F1 is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,7,3,7,10,aromatic,firm,9,4,8,small,conical,9,red,6,good,fresh_eating|desserts|salads,7,6,83,continuous,medium,none,medium,4_plus_years,4,8,3,7,cool|temperate,true,10,40,beginner,moderate,susceptible,susceptible,susceptible,,,westcoastseeds.com|extension.oregonstate.edu|strawberryplants.org,high,false,true,WestCoastSeeds,Hot Pink Berri Basket F1
26,Hood,,june_bearing,New Zealand,Hood is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,8,5,8,5,classic,medium,9,19,23,large,elongated,8,dark_red,10,excellent,fresh_eating|jam|preserves|baking,7,6,107,short,high,very_high,high,3_years,4,6,5,9,cool|temperate|warm,false,,20,intermediate,moderate,moderate,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
27,Totem,,june_bearing,New Zealand,Totem is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,6,7,8,classic,medium,8,20,24,large,conical,7,dark_red,10,excellent,fresh_eating|jam|preserves|baking,9,7,115,short,very_high,high,high,2_years,5,8,6,5,cool|temperate|warm,false,,35,beginner,resistant,resistant,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
28,Tillamook,,june_bearing,UK,Tillamook is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,9,3,6,7,classic,medium,7,19,23,large,elongated,9,red,7,good,fresh_eating|jam|preserves|baking,8,8,127,short,high,high,high,2_years,5,6,5,5,cool|temperate|warm,false,,20,beginner,resistant,resistant,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
29,Marys Peak,,june_bearing,Netherlands,Marys Peak is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,6,6,6,classic,medium,6,18,22,large,elongated,8,dark_red,7,good,fresh_eating|jam|preserves|baking,7,8,109,short,very_high,high,high,3_years,5,8,8,9,cool|temperate|warm,true,15,25,beginner,resistant,moderate,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
30,Rainier,,june_bearing,UK,Rainier is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,6,5,6,classic,soft,8,13,17,large,elongated,6,dark_red,7,good,fresh_eating|jam|preserves|baking,6,7,96,short,high,high,high,3_years,5,9,4,7,cool|temperate|warm,false,,40,intermediate,resistant,resistant,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
31,Puget Crimson,,june_bearing,Germany,Puget Crimson is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,9,3,5,8,classic,soft,7,19,23,large,conical,6,dark_red,7,good,fresh_eating|jam|preserves|baking,7,8,99,short,very_high,very_high,medium,2_years,5,7,5,6,cool|temperate|warm,true,15,40,beginner,resistant,moderate,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
32,Shuksan,,june_bearing,Germany,Shuksan is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,9,5,6,5,classic,firm,9,21,25,large,round,9,dark_red,10,excellent,fresh_eating|jam|preserves|baking,9,8,108,short,very_high,very_high,medium,2_years,5,8,8,7,cool|temperate|warm,false,,30,beginner,resistant,resistant,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
33,Cabot,,june_bearing,Japan,Cabot is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,8,4,6,7,classic,firm,7,13,17,large,conical,8,dark_red,7,good,fresh_eating|jam|preserves|baking,7,5,112,short,high,high,high,3_years,5,7,5,6,cool|temperate|warm,false,,30,intermediate,moderate,resistant,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
34,Annapolis,,june_bearing,USA,Annapolis is a june bearing strawberry with medium berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,6,7,5,classic,medium,9,10,14,medium,round,6,dark_red,7,good,fresh_eating|jam|preserves|baking,6,5,113,short,very_high,very_high,medium,2_years,5,6,8,9,cool|temperate|warm,true,10,25,beginner,resistant,resistant,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
35,Charm,,june_bearing,Canada,Charm is a june bearing strawberry with very large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,3,6,6,classic,medium,9,24,28,very_large,round,9,red,10,excellent,fresh_eating|jam|preserves|baking,7,6,111,short,very_high,very_high,high,2_years,5,7,7,8,cool|temperate|warm,false,,30,beginner,resistant,resistant,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
36,Cambridge Favourite,,june_bearing,Germany,Cambridge Favourite is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,3,5,7,classic,firm,7,14,18,large,wedge,6,red,8,excellent,fresh_eating|jam|preserves|baking,5,6,101,short,high,high,high,2_years,4,8,5,5,cool|temperate|warm,false,,20,beginner,moderate,resistant,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
37,Festival,,june_bearing,New Zealand,Festival is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,9,3,5,8,classic,soft,9,21,25,large,conical,9,red,7,good,fresh_eating|jam|preserves|baking,6,7,115,short,very_high,high,medium,3_years,5,9,4,8,cool|temperate|warm,false,,35,beginner,moderate,resistant,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
38,Red Gauntlet,,june_bearing,Canada,Red Gauntlet is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,8,6,7,8,classic,soft,9,13,17,large,conical,7,dark_red,10,excellent,fresh_eating|jam|preserves|baking,5,8,108,short,very_high,very_high,high,3_years,4,8,7,7,cool|temperate|warm,false,,30,beginner,resistant,moderate,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
39,Senga Sengana,,june_bearing,Germany,Senga Sengana is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,3,7,5,classic,medium,9,21,25,large,elongated,6,dark_red,9,excellent,fresh_eating|jam|preserves|baking,6,7,106,short,high,high,high,2_years,4,8,8,7,cool|temperate|warm,true,15,40,beginner,resistant,moderate,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
40,Cavendish,,june_bearing,Netherlands,Cavendish is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,4,6,8,classic,medium,6,14,18,large,conical,6,red,10,excellent,fresh_eating|jam|preserves|baking,9,8,109,short,very_high,high,high,3_years,5,6,4,6,cool|temperate|warm,true,20,20,beginner,resistant,resistant,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
41,Earlibelle,,june_bearing,Italy,Earlibelle is a june bearing strawberry with very large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,5,8,5,classic,firm,8,28,32,very_large,elongated,8,red,8,excellent,fresh_eating|jam|preserves|baking,9,9,114,short,high,high,medium,3_years,4,7,6,7,cool|temperate|warm,true,10,35,intermediate,moderate,moderate,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
42,Brunswick,,june_bearing,Canada,Brunswick is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,6,5,8,classic,soft,6,20,24,large,elongated,9,dark_red,9,excellent,fresh_eating|jam|preserves|baking,7,6,96,short,high,very_high,medium,3_years,5,6,7,5,cool|temperate|warm,true,20,35,beginner,resistant,resistant,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
43,Benicia,,june_bearing,Germany,Benicia is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,5,7,6,classic,medium,7,13,17,large,wedge,8,red,8,excellent,fresh_eating|jam|preserves|baking,9,5,116,short,high,high,high,3_years,5,8,6,6,cool|temperate|warm,false,,35,intermediate,resistant,resistant,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
44,Brilliant,,june_bearing,New Zealand,Brilliant is a june bearing strawberry with medium berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,3,7,7,classic,firm,6,12,16,medium,elongated,9,red,8,excellent,fresh_eating|jam|preserves|baking,9,9,119,short,high,very_high,high,2_years,4,9,4,7,cool|temperate|warm,false,,20,beginner,moderate,moderate,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
45,Camino Real,,june_bearing,Switzerland,Camino Real is a june bearing strawberry with medium berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,8,5,8,8,classic,firm,8,11,15,medium,round,6,dark_red,5,fair,fresh_eating|jam|preserves|baking,7,6,127,short,very_high,very_high,high,2_years,5,6,8,6,cool|temperate|warm,false,,30,intermediate,moderate,moderate,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
46,Darselect,,june_bearing,UK,Darselect is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,9,5,5,7,classic,medium,8,15,19,large,wedge,8,dark_red,8,excellent,fresh_eating|jam|preserves|baking,8,7,106,short,high,high,high,2_years,4,8,8,6,cool|temperate|warm,false,,25,beginner,moderate,moderate,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
47,Kent,,june_bearing,France,Kent is a june bearing strawberry with very large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,8,6,6,6,classic,medium,8,25,29,very_large,wedge,8,dark_red,10,excellent,fresh_eating|jam|preserves|baking,8,9,101,short,very_high,high,medium,2_years,5,6,7,7,cool|temperate|warm,false,,20,beginner,resistant,moderate,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
48,Anitabis,,june_bearing,UK,Anitabis is a june bearing strawberry with medium berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,6,7,5,classic,firm,9,11,15,medium,elongated,8,red,8,excellent,fresh_eating|jam|preserves|baking,5,7,105,short,high,high,high,2_years,5,7,5,5,cool|temperate|warm,true,7,45,beginner,resistant,resistant,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
49,Avalon,,june_bearing,Netherlands,Avalon is a june bearing strawberry with medium berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,5,6,7,classic,medium,6,11,15,medium,wedge,9,dark_red,5,fair,fresh_eating|jam|preserves|baking,8,5,101,short,high,high,medium,3_years,5,6,8,7,cool|temperate|warm,true,7,25,beginner,resistant,moderate,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
50,Charity,,june_bearing,UK,Charity is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,5,5,7,classic,medium,7,13,17,large,round,7,red,9,excellent,fresh_eating|jam|preserves|baking,7,5,118,short,high,very_high,high,2_years,4,6,7,5,cool|temperate|warm,true,10,25,beginner,resistant,resistant,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
51,Elegance,,june_bearing,Japan,Elegance is a june bearing strawberry with very large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,5,7,5,classic,soft,8,23,27,very_large,elongated,9,dark_red,9,excellent,fresh_eating|jam|preserves|baking,7,7,108,short,very_high,very_high,high,2_years,5,6,7,9,cool|temperate|warm,false,,25,intermediate,resistant,moderate,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
52,Polka,,june_bearing,Japan,Polka is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,6,7,8,classic,firm,6,21,25,large,elongated,8,red,7,good,fresh_eating|jam|preserves|baking,7,7,114,short,very_high,high,medium,2_years,5,6,5,5,cool|temperate|warm,true,20,30,intermediate,resistant,moderate,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
53,Red Chief,,june_bearing,Switzerland,Red Chief is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,8,6,7,7,classic,medium,7,13,17,large,conical,7,dark_red,10,excellent,fresh_eating|jam|preserves|baking,5,9,111,short,very_high,very_high,high,2_years,5,9,5,5,cool|temperate|warm,true,10,35,beginner,resistant,moderate,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
54,Red Star,,june_bearing,Italy,Red Star is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,4,7,6,classic,firm,6,16,20,large,wedge,7,dark_red,7,good,fresh_eating|jam|preserves|baking,8,9,118,short,very_high,very_high,medium,2_years,4,8,7,8,cool|temperate|warm,false,,35,beginner,moderate,resistant,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
55,Roxana,,june_bearing,USA,Roxana is a june bearing strawberry with very large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,4,8,5,classic,soft,6,26,30,very_large,wedge,8,red,8,excellent,fresh_eating|jam|preserves|baking,5,5,112,short,very_high,very_high,medium,3_years,4,8,5,7,cool|temperate|warm,false,,20,beginner,moderate,moderate,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
56,Sonata,,june_bearing,Switzerland,Sonata is a june bearing strawberry with very large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,8,4,8,5,classic,firm,9,27,31,very_large,round,8,dark_red,8,excellent,fresh_eating|jam|preserves|baking,7,9,107,short,very_high,high,medium,2_years,5,9,7,8,cool|temperate|warm,true,20,25,intermediate,resistant,resistant,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
57,Sparkle,,june_bearing,Japan,Sparkle is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,6,5,7,classic,firm,9,17,21,large,wedge,6,red,9,excellent,fresh_eating|jam|preserves|baking,8,9,108,short,very_high,high,medium,3_years,5,7,5,8,cool|temperate|warm,false,,35,intermediate,resistant,resistant,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
58,Temptation,,everbearing,Canada,Temptation is a everbearing strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,7,3,5,7,classic,firm,9,15,19,large,elongated,7,pink,7,good,fresh_eating|jam|preserves|freezing,9,9,84,long,high,moderate,high,3_years,3,8,4,9,temperate|cool,false,,30,intermediate,moderate,resistant,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
59,Ogallala,,everbearing,Italy,Ogallala is a everbearing strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,8,5,7,7,classic,soft,7,9,13,medium,elongated,5,pink,5,fair,fresh_eating|jam|preserves|freezing,5,7,77,long,high,moderate,medium,2_years,4,7,5,8,temperate|cool,false,,45,intermediate,resistant,resistant,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
60,Geneva,,everbearing,Switzerland,Geneva is a everbearing strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,8,5,5,8,classic,medium,8,16,20,large,wedge,5,red,8,excellent,fresh_eating|jam|preserves|freezing,9,6,101,long,high,low,medium,2_years,3,6,4,8,temperate|cool,true,10,35,beginner,resistant,resistant,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
